city,state_admin1,population,latitude,longitude,geonameid
New York City,NY,8804190,40.71427,-74.00597,5128581
Los Angeles,CA,3820914,34.05223,-118.24368,5368361
Brooklyn,NY,2736074,40.6501,-73.94958,5110302
Chicago,IL,2664452,41.85003,-87.65005,4887398
Queens,NY,2316841,40.68149,-73.83652,5133273
Houston,TX,2314157,29.76328,-95.36327,4699066
Phoenix,AZ,1650070,33.44838,-112.07404,5308655
Philadelphia,PA,1573916,39.95238,-75.16362,4560349
San Antonio,TX,1526656,29.42412,-98.49363,4726206
Manhattan,NY,1487536,40.78343,-73.96625,5125771
San Diego,CA,1404452,32.71571,-117.16472,5391811
The Bronx,NY,1385108,40.84985,-73.86641,5110266
Dallas,TX,1326087,32.78306,-96.80667,4684888
Jacksonville,FL,1009833,30.33218,-81.65565,4160021
Fort Worth,TX,1008106,32.72541,-97.32085,4691930
San Jose,CA,997368,37.33939,-121.89496,5392171
Austin,TX,974447,30.26715,-97.74306,4671654
Columbus,OH,913175,39.96118,-82.99879,4509177
Charlotte,NC,911311,35.22709,-80.84313,4460243
Indianapolis,IN,887642,39.76838,-86.15804,4259418
San Francisco,CA,827526,37.77493,-122.41942,5391959
Seattle,WA,780995,47.60621,-122.33207,5809844
Denver,CO,729019,39.73915,-104.9847,5419384
Washington,DC,689545,38.89511,-77.03637,4140963
Nashville,TN,689447,36.16589,-86.78444,4644585
Oklahoma City,OK,681054,35.46756,-97.51643,4544349
El Paso,TX,678815,31.75872,-106.48693,5520993
Boston,MA,653833,42.35843,-71.05977,4930956
Portland,OR,652503,45.52345,-122.67621,5746545
Detroit,MI,645705,42.33143,-83.04575,4990729
Las Vegas,NV,641903,36.17497,-115.13722,5506956
New South Memphis,TN,641608,35.08676,-90.05676,4645421
Memphis,TN,633104,35.14953,-90.04898,4641239
Louisville,KY,624444,38.25424,-85.75941,4299276
Baltimore,MD,585708,39.29038,-76.61219,4347778
South Boston,MA,571281,42.33343,-71.04949,4951305
Albuquerque,NM,564559,35.08449,-106.65114,5454711
Milwaukee,WI,563531,43.0389,-87.90647,5263045
Tucson,AZ,542629,32.22174,-110.92648,5318313
Fresno,CA,542107,36.74773,-119.77237,5350937
Sacramento,CA,524943,38.58157,-121.4944,5389489
Atlanta,GA,510823,33.749,-84.38798,4180439
Miami,FL,487014,25.77427,-80.19366,4164138
Omaha,NE,486051,41.25626,-95.94043,5074472
Raleigh,NC,482295,35.7721,-78.63861,4487042
Kansas City,MO,475378,39.09973,-94.57857,4393217
Long Beach,CA,474140,33.76696,-118.18923,5367929
Mesa,AZ,471825,33.42227,-111.82264,5304391
Staten Island,NY,468730,40.56233,-74.13986,5139568
Colorado Springs,CO,456568,38.83388,-104.82136,5417598
Virginia Beach,VA,454808,36.85293,-75.97799,4791259
Oakland,CA,419267,37.80437,-122.2708,5378538
Tampa,FL,414547,27.94752,-82.45843,4174757
Tulsa,OK,413066,36.15398,-95.99277,4553433
Minneapolis,MN,410939,44.97997,-93.26384,5037649
Wichita,KS,396119,37.69224,-97.33754,4281730
Arlington,TX,388125,32.73569,-97.10807,4671240
Bakersfield,CA,373640,35.37329,-119.01871,5325738
Cleveland,OH,365379,41.4995,-81.69541,5150529
New Orleans,LA,362701,29.95465,-90.07507,4335045
Aurora,CO,359407,39.72943,-104.83192,5412347
Honolulu,HI,350964,21.30694,-157.85833,5856195
Anaheim,CA,350742,33.83529,-117.9145,5323810
West Raleigh,NC,338759,35.78682,-78.66389,4498303
Orlando,FL,334854,28.53834,-81.37924,4167147
Lexington,KY,320347,37.98869,-84.47772,4297983
Riverside,CA,317261,33.95335,-117.39616,5387877
Corpus Christi,TX,316239,27.80058,-97.39638,4683416
Lexington-Fayette,KY,314488,38.0498,-84.45855,4297999
Cincinnati,OH,311097,39.12711,-84.51439,4508722
Santa Ana,CA,310227,33.74557,-117.86783,5392900
Stockton,CA,305658,37.9577,-121.29078,5399020
Pittsburgh,PA,304391,40.44062,-79.99589,5206379
Saint Paul,MN,303176,44.94441,-93.09327,5045360
Lincoln,NE,294757,40.8,-96.66696,5072006
Anchorage,AK,289600,61.21806,-149.90028,5879400
Meads,KY,288649,38.41258,-82.70905,4300488
Henderson,NV,285667,36.0397,-114.98194,5505411
Greensboro,NC,285342,36.07264,-79.79198,4469146
Plano,TX,283558,33.01984,-96.69889,4719457
Newark,NJ,281944,40.73566,-74.17237,5101798
Madison,WI,280305,43.07305,-89.40123,5261457
St. Louis,MO,279695,38.62727,-90.19789,4407066
Chula Vista,CA,265757,32.64005,-117.0842,5336899
Toledo,OH,265638,41.66394,-83.55521,5174035
Jersey City,NJ,264290,40.72816,-74.07764,5099836
Reno,NV,264165,39.52963,-119.8138,5511077
Chandler,AZ,260828,33.30616,-111.84125,5289282
Fort Wayne,IN,260326,41.1306,-85.12886,4920423
Buffalo,NY,258071,42.88645,-78.87837,5110629
Durham,NC,257636,35.99403,-78.89862,4464368
St. Petersburg,FL,257083,27.77086,-82.67927,4171563
Irvine,CA,256927,33.66946,-117.82311,5359777
Laredo,TX,256153,27.50641,-99.50754,4705349
Lubbock,TX,249042,33.57786,-101.85517,5525577
Gilbert,AZ,247542,33.35283,-111.78903,5295903
Tri-Cities,WA,244036,46.2454,-119.19617,7289169
Winston-Salem,NC,241218,36.09986,-80.24422,4499612
Glendale,AZ,240126,33.53865,-112.18599,5295985
Norfolk,VA,238005,36.84681,-76.28522,4776222
Hialeah,FL,237069,25.8576,-80.27811,4158476
Garland,TX,236897,32.91262,-96.63888,4693003
Scottsdale,AZ,236839,33.50921,-111.89903,5313457
Irving,TX,236607,32.81402,-96.94889,4700168
