keyword,language,cluster,monthly_volume_gr,difficulty,intent,serp_features,current_gsc_position,current_impressions,target_url,target_file,page_status,priority
seo υπηρεσιεσ,el,C1,300,,commercial,,6.02,45,/el,src/app/[locale]/page.tsx,exists,P0
seo υπηρεσίες τιμές,el,C1,,,commercial,,83.8,5,/el,src/app/[locale]/page.tsx,exists,P0
ποσο κοστιζει το seo,el,C1,10,,commercial,,17.1,58,/el,src/app/[locale]/page.tsx,exists,P0
πόσο κοστίζει το seo ελλάδα,el,C1,,,commercial,,62.22,9,/el,src/app/[locale]/page.tsx,exists,P0
seo τιμες,el,C1,40,,commercial,,78.2,25,/el,src/app/[locale]/page.tsx,exists,P0
τιμές seo,el,C1,40,,commercial,,82.79,14,/el,src/app/[locale]/page.tsx,exists,P0
σεο τιμεσ,el,C1,40,,commercial,,21.5,12,/el,src/app/[locale]/page.tsx,exists,P0
seo κοστοσ,el,C1,,,commercial,,85.56,41,/el,src/app/[locale]/page.tsx,exists,P0
κοστος seo,el,C1,,,commercial,,90.33,3,/el,src/app/[locale]/page.tsx,exists,P0
seo κόστος,el,C1,,,commercial,,93,3,/el,src/app/[locale]/page.tsx,exists,P0
seo τιμές ελλάδα,el,C1,,,commercial,,76.38,8,/el,src/app/[locale]/page.tsx,exists,P0
τιμές seo ελλάδα,el,C1,,,commercial,,80.5,6,/el,src/app/[locale]/page.tsx,exists,P0
πακέτα seo,el,C1,40,,commercial,,89.83,6,/el,src/app/[locale]/page.tsx,exists,P0
προσφορά seo,el,C1,,,commercial,,25.25,4,/el,src/app/[locale]/page.tsx,exists,P0
seo για επιχειρησεις,el,C1,,,commercial,,75.67,86,/el,src/app/[locale]/page.tsx,exists,P0
seo για μικρές επιχειρήσεις,el,C1,,low,commercial,,42.47,19,/el,src/app/[locale]/page.tsx,exists,P0
εταιρεια seo,el,C1,90,,commercial,,1,1,/el,src/app/[locale]/page.tsx,exists,P0
seo,el,C1,4300,93,informational,ai_overview,80.91,56,/el,src/app/[locale]/page.tsx,exists,P0
