Date,Clicks,Impressions,CTR,Position
2025-03-11,0,0,,
2025-03-12,0,0,,
2025-03-13,0,0,,
2025-03-14,0,0,,
2025-03-15,0,0,,
2025-03-16,0,0,,
2025-03-17,0,1,0%,3
2025-03-18,0,0,,
2025-03-19,0,0,,
2025-03-20,0,0,,
2025-03-21,0,0,,
2025-03-22,0,0,,
2025-03-23,0,0,,
2025-03-24,0,0,,
2025-03-25,0,0,,
2025-03-26,0,0,,
2025-03-27,0,0,,
2025-03-28,0,0,,
2025-03-29,0,1,0%,8
2025-03-30,0,0,,
2025-03-31,0,0,,
2025-04-01,0,0,,
2025-04-02,0,0,,
2025-04-03,0,0,,
2025-04-04,0,0,,
2025-04-05,0,0,,
2025-04-06,0,0,,
2025-04-07,0,0,,
2025-04-08,0,0,,
2025-04-09,0,0,,
2025-04-10,0,0,,
2025-04-11,0,0,,
2025-04-12,0,0,,
2025-04-13,0,0,,
2025-04-14,0,0,,
2025-04-15,0,0,,
2025-04-16,0,0,,
2025-04-17,0,0,,
2025-04-18,0,1,0%,6
2025-04-19,0,0,,
2025-04-20,0,0,,
2025-04-21,0,0,,
2025-04-22,0,0,,
2025-04-23,0,0,,
2025-04-24,0,0,,
2025-04-25,0,0,,
2025-04-26,0,0,,
2025-04-27,0,0,,
2025-04-28,0,0,,
2025-04-29,0,0,,
2025-04-30,0,0,,
2025-05-01,0,0,,
2025-05-02,0,0,,
2025-05-03,0,0,,
2025-05-04,0,0,,
2025-05-05,0,0,,
2025-05-06,0,1,0%,1
2025-05-07,0,0,,
2025-05-08,0,0,,
2025-05-09,0,0,,
2025-05-10,0,0,,
2025-05-11,0,0,,
2025-05-12,0,0,,
2025-05-13,0,0,,
2025-05-14,0,0,,
2025-05-15,0,0,,
2025-05-16,0,0,,
2025-05-17,0,0,,
2025-05-18,0,0,,
2025-05-19,0,0,,
2025-05-20,0,0,,
2025-05-21,0,0,,
2025-05-22,1,1,100%,1
2025-05-23,0,0,,
2025-05-24,0,0,,
2025-05-25,0,0,,
2025-05-26,0,0,,
2025-05-27,0,0,,
2025-05-28,0,0,,
2025-05-29,0,0,,
2025-05-30,0,0,,
2025-05-31,0,0,,
2025-06-01,0,0,,
2025-06-02,0,0,,
2025-06-03,0,0,,
2025-06-04,0,0,,
2025-06-05,0,0,,
2025-06-06,0,0,,
2025-06-07,0,0,,
2025-06-08,0,0,,
2025-06-09,0,0,,
2025-06-10,0,0,,
2025-06-11,0,0,,
2025-06-12,0,0,,
2025-06-13,0,0,,
2025-06-14,0,0,,
2025-06-15,0,0,,
2025-06-16,0,0,,
2025-06-17,0,0,,
2025-06-18,0,0,,
2025-06-19,0,0,,
2025-06-20,0,0,,
2025-06-21,0,0,,
2025-06-22,0,0,,
2025-06-23,0,0,,
2025-06-24,0,0,,
2025-06-25,0,0,,
2025-06-26,0,0,,
2025-06-27,0,0,,
2025-06-28,0,0,,
2025-06-29,0,0,,
2025-06-30,0,0,,
2025-07-01,0,0,,
2025-07-02,0,0,,
2025-07-03,0,0,,
2025-07-04,0,0,,
2025-07-05,0,0,,
2025-07-06,0,0,,
2025-07-07,0,0,,
2025-07-08,0,0,,
2025-07-09,0,0,,
2025-07-10,0,0,,
2025-07-11,0,0,,
2025-07-12,0,0,,
2025-07-13,0,0,,
2025-07-14,0,0,,
2025-07-15,0,0,,
2025-07-16,0,0,,
2025-07-17,0,0,,
2025-07-18,0,0,,
2025-07-19,0,0,,
2025-07-20,0,0,,
2025-07-21,0,0,,
2025-07-22,0,0,,
2025-07-23,0,0,,
2025-07-24,0,0,,
2025-07-25,0,0,,
2025-07-26,0,0,,
2025-07-27,0,0,,
2025-07-28,0,0,,
2025-07-29,0,0,,
2025-07-30,0,0,,
2025-07-31,0,0,,
2025-08-01,0,0,,
2025-08-02,0,0,,
2025-08-03,0,0,,
2025-08-04,0,0,,
2025-08-05,0,0,,
2025-08-06,0,0,,
2025-08-07,0,0,,
2025-08-08,0,0,,
2025-08-09,0,0,,
2025-08-10,0,0,,
2025-08-11,0,0,,
2025-08-12,0,0,,
2025-08-13,0,0,,
2025-08-14,0,0,,
2025-08-15,0,0,,
2025-08-16,0,0,,
2025-08-17,0,0,,
2025-08-18,0,0,,
2025-08-19,0,0,,
2025-08-20,0,0,,
2025-08-21,0,0,,
2025-08-22,0,0,,
2025-08-23,0,0,,
2025-08-24,0,0,,
2025-08-25,0,0,,
2025-08-26,0,0,,
2025-08-27,0,0,,
2025-08-28,0,0,,
2025-08-29,0,0,,
2025-08-30,0,0,,
2025-08-31,0,0,,
2025-09-01,0,0,,
2025-09-02,0,0,,
2025-09-03,0,0,,
2025-09-04,0,0,,
2025-09-05,0,0,,
2025-09-06,0,0,,
2025-09-07,0,0,,
2025-09-08,0,0,,
2025-09-09,0,0,,
2025-09-10,0,0,,
2025-09-11,0,0,,
2025-09-12,0,0,,
2025-09-13,0,0,,
2025-09-14,0,0,,
2025-09-15,0,0,,
2025-09-16,0,0,,
2025-09-17,0,0,,
2025-09-18,0,0,,
2025-09-19,0,0,,
2025-09-20,0,0,,
2025-09-21,0,0,,
2025-09-22,0,0,,
2025-09-23,0,0,,
2025-09-24,0,0,,
2025-09-25,0,0,,
2025-09-26,0,0,,
2025-09-27,0,0,,
2025-09-28,0,0,,
2025-09-29,0,0,,
2025-09-30,0,1,0%,1
2025-10-01,1,2,50%,1
2025-10-02,0,3,0%,4.7
2025-10-03,3,9,33.33%,3.6
2025-10-04,2,4,50%,1
2025-10-05,0,0,,
2025-10-06,0,0,,
2025-10-07,0,0,,
2025-10-08,0,0,,
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,1,0%,1
2025-10-14,0,0,,
2025-10-15,0,0,,
2025-10-16,0,2,0%,8
2025-10-17,0,1,0%,65
2025-10-18,0,4,0%,58.2
2025-10-19,0,3,0%,53.3
2025-10-20,0,9,0%,19.2
2025-10-21,0,1,0%,66
2025-10-22,0,0,,
2025-10-23,0,0,,
2025-10-24,0,0,,
2025-10-25,0,1,0%,84
2025-10-26,0,0,,
2025-10-27,1,2,50%,3.5
2025-10-28,3,7,42.86%,4.1
2025-10-29,7,16,43.75%,9.4
2025-10-30,1,18,5.56%,13.9
2025-10-31,1,11,9.09%,17.5
2025-11-01,0,13,0%,12.6
2025-11-02,0,21,0%,6
2025-11-03,0,6,0%,19.8
2025-11-04,0,6,0%,16.8
2025-11-05,0,5,0%,23
2025-11-06,0,12,0%,9.4
2025-11-07,0,7,0%,41.3
2025-11-08,0,4,0%,41.5
2025-11-09,0,0,,
2025-11-10,0,1,0%,3
2025-11-11,0,1,0%,22
2025-11-12,0,1,0%,1
2025-11-13,0,2,0%,29.5
2025-11-14,0,5,0%,50.4
2025-11-15,1,4,25%,41
2025-11-16,0,3,0%,18.7
2025-11-17,0,8,0%,16.6
2025-11-18,0,7,0%,31.1
2025-11-19,0,10,0%,14.9
2025-11-20,0,17,0%,27.2
2025-11-21,0,11,0%,25.7
2025-11-22,0,12,0%,21.6
2025-11-23,0,9,0%,17
2025-11-24,0,35,0%,28.8
2025-11-25,1,37,2.7%,10.2
2025-11-26,0,15,0%,29
2025-11-27,0,15,0%,32.3
2025-11-28,0,29,0%,36.4
2025-11-29,0,15,0%,29.6
2025-11-30,1,17,5.88%,30.6
2025-12-01,0,12,0%,37.5
2025-12-02,0,9,0%,30.2
2025-12-03,1,11,9.09%,43.2
2025-12-04,0,3,0%,69.7
2025-12-05,0,12,0%,62.8
2025-12-06,0,3,0%,60.7
2025-12-07,0,12,0%,50.2
2025-12-08,0,38,0%,68.5
2025-12-09,0,10,0%,63.7
2025-12-10,0,6,0%,65
2025-12-11,0,5,0%,40.6
2025-12-12,0,18,0%,49.2
2025-12-13,0,9,0%,59.3
2025-12-14,0,10,0%,23.5
2025-12-15,0,15,0%,46.4
2025-12-16,0,26,0%,69
2025-12-17,0,3,0%,58.7
2025-12-18,0,3,0%,73.7
