Country,Clicks,Impressions,CTR,Position
Greece,43,574,7.49%,36.81
United States,2,4001,0.05%,50.65
United Kingdom,1,822,0.12%,41.24
Spain,1,57,1.75%,20.58
Netherlands,0,418,0%,25.06
Poland,0,256,0%,26.52
Australia,0,196,0%,24.41
India,0,145,0%,57.81
Czechia,0,133,0%,18.17
Singapore,0,132,0%,22.67
Japan,0,109,0%,25.61
New Zealand,0,86,0%,25.4
Brazil,0,81,0%,39.6
Canada,0,66,0%,38.95
Finland,0,51,0%,28.92
Germany,0,44,0%,33.07
Turkey,0,44,0%,46.73
Norway,0,41,0%,33.07
Italy,0,41,0%,47.17
Portugal,0,39,0%,34.59
Sweden,0,38,0%,37.13
United Arab Emirates,0,33,0%,28.03
Hungary,0,31,0%,33.1
Mexico,0,31,0%,39.32
Malaysia,0,30,0%,51.03
Estonia,0,29,0%,28.03
Chile,0,27,0%,39.04
Switzerland,0,26,0%,28.15
Denmark,0,26,0%,37.81
Bulgaria,0,25,0%,11.56
Latvia,0,25,0%,35.96
Pakistan,0,25,0%,43.44
Argentina,0,23,0%,31.52
Indonesia,0,22,0%,42.5
Ukraine,0,21,0%,9.48
Belgium,0,21,0%,26.86
Lithuania,0,21,0%,36.19
Austria,0,19,0%,19.58
Ireland,0,16,0%,24.5
South Africa,0,15,0%,51.13
Russia,0,12,0%,15.5
Vietnam,0,12,0%,20.33
Philippines,0,9,0%,24.44
Slovakia,0,7,0%,16.71
South Korea,0,6,0%,11.83
Colombia,0,6,0%,28
France,0,6,0%,55.5
Peru,0,5,0%,16.2
Israel,0,5,0%,20.6
Mauritius,0,4,0%,18.25
Bangladesh,0,4,0%,19
Algeria,0,4,0%,29.25
Serbia,0,3,0%,5.33
Egypt,0,3,0%,7
Croatia,0,3,0%,10
Kenya,0,3,0%,10
Thailand,0,3,0%,11
Ecuador,0,3,0%,18.33
Tunisia,0,3,0%,18.33
Saudi Arabia,0,3,0%,40
Romania,0,2,0%,5.5
Bolivia,0,2,0%,10
Hong Kong,0,2,0%,11
Iraq,0,2,0%,19.5
Cameroon,0,2,0%,47.5
Nigeria,0,2,0%,48.5
Sri Lanka,0,2,0%,50
Georgia,0,1,0%,1
Nepal,0,1,0%,1
Angola,0,1,0%,2
Slovenia,0,1,0%,2
Azerbaijan,0,1,0%,4
Barbados,0,1,0%,5
Morocco,0,1,0%,6
Paraguay,0,1,0%,6
Ethiopia,0,1,0%,7
Bahamas,0,1,0%,8
Malawi,0,1,0%,10
Malta,0,1,0%,11
Panama,0,1,0%,11
Iran,0,1,0%,15
Dominican Republic,0,1,0%,18
Lebanon,0,1,0%,19
Albania,0,1,0%,20
Oman,0,1,0%,40
Uzbekistan,0,1,0%,42
Belarus,0,1,0%,47
Palestine,0,1,0%,47
