url,page_type,indexability,click_depth,inbound_internal_links,outbound_internal_links,in_main_links,top_inbound_anchor,orphan
"https://anotherseoguru.com/en/glossary","glossary","index",1,2094,53,0,"SEO glossary (x2086)",no
"https://anotherseoguru.com/el/glossary","glossary","index",2,48,58,0,"ΕΛ (x47)",no
"https://anotherseoguru.com/","home","index",0,0,91,38,"",YES
"https://anotherseoguru.com/en","home","index",1,6136,91,38,"AnotherSEOGuru (x4164)",no
"https://anotherseoguru.com/en/contact","contact","index",1,14660,54,4,"Contact (x4164)",no
"https://anotherseoguru.com/el/contact","contact","index",2,4942,59,4,"Επικοινωνία (x3172)",no
"https://anotherseoguru.com/en/about","about","index",1,2085,56,3,"About us (x2084)",no
"https://anotherseoguru.com/en/services","service-index","index",2,3281,70,17,"Services (x1408)",no
"https://anotherseoguru.com/en/solutions","solutions","index",2,1796,101,48,"Solutions by industry (x1396)",no
"https://anotherseoguru.com/el/solutions","solutions","index",3,400,106,48,"Κλάδοι (x397)",no
"https://anotherseoguru.com/el","home","index",1,4747,97,39,"AnotherSEOGuru (x3172)",no
"https://anotherseoguru.com/el/services","service-index","index",2,5045,75,17,"Όλες οι υπηρεσίες (x1586)",no
"https://anotherseoguru.com/el/about","about","index",2,1588,61,3,"Σχετικά με εμάς (x1586)",no
"https://anotherseoguru.com/en/get-started","get-started","index",1,8961,50,0,"Get a quote (x4617)",no
"https://anotherseoguru.com/el/pricing","pricing","index",2,4915,78,20,"Τιμές (x3196)",no
"https://anotherseoguru.com/en/pricing","pricing","index",1,9181,73,20,"Pricing (x4200)",no
"https://anotherseoguru.com/el/work","work","index",2,3295,129,71,"Έργα (x1662)",no
"https://anotherseoguru.com/el/get-started","get-started","index",2,7369,55,0,"Ζητήστε προσφορά (x5212)",no
"https://anotherseoguru.com/en/blog","blog","index",1,2149,99,46,"Blog (x2131)",no
"https://anotherseoguru.com/en/locations","locations","index",1,3493,267,214,"All Locations (x2082)",no
"https://anotherseoguru.com/en/privacy","privacy","index",1,6247,53,0,"Privacy policy (x2082)",no
"https://anotherseoguru.com/el/locations","locations","index",2,4190,272,214,"Πόλεις & νησιά (x1586)",no
"https://anotherseoguru.com/el/privacy","privacy","index",2,4759,58,0,"Πολιτική απορρήτου (x1586)",no
"https://anotherseoguru.com/en/terms","terms","index",1,2083,53,0,"Terms of service (x2082)",no
"https://anotherseoguru.com/el/terms","terms","index",2,1587,58,0,"Όροι χρήσης (x1586)",no
