url,status,canonical,indexability,html_lang,hreflang_count,title,h1,meta_description,sitemaps,page_type,internal_inlinks,outlinks,depth,words
"https://anotherseoguru.com/",200,"https://anotherseoguru.com/en","index","en",6,"SEO & Web Design Agency in Greece | AnotherSEOGuru","SEO services & web design that bring in customers","Technical SEO, local SEO and GEO/AEO, plus website and e-shop builds. Strategy built on your own Search Console data, not a template. Request a quote.","","home",0,91,0,1548
"https://anotherseoguru.com/el",200,"https://anotherseoguru.com/el","index","el",6,"SEO & Κατασκευή Ιστοσελίδων στην Ελλάδα | AnotherSEOGuru","SEO υπηρεσίες & προώθηση ιστοσελίδων στην Ελλάδα","Τεχνικό SEO, τοπικό SEO και GEO/AEO, με κατασκευή ιστοσελίδων και e-shop. Στρατηγική βάσει των δικών σας δεδομένων, όχι έτοιμο πακέτο. Ζητήστε προσφορά.","sitemap.xml","home",4747,97,1,1681
"https://anotherseoguru.com/el/about",200,"https://anotherseoguru.com/el/about","index","el",6,"Ποιοι Είμαστε - SEO & Web Design | AnotherSEOGuru","Κατασκευάζουμε Ιστοσελίδες που Φέρνουν Αποτελέσματα","Η AnotherSEOGuru συνδυάζει ένα SEO platform με ένα agency κατασκευής ιστοσελίδων και SEO. Γρήγορες ιστοσελίδες, SEO, GEO, AEO και μετρήσιμη ανάπτυξη.","sitemap.xml","about",1588,61,2,370
"https://anotherseoguru.com/el/blog",200,"https://anotherseoguru.com/el/blog","index","el",6,"Άρθρα SEO, GEO & AEO - Οδηγοί | AnotherSEOGuru","Άρθρα & οδηγοί SEO","Οδηγοί για Google Search Console, GEO, AEO, αναζήτηση με AI, τεχνικό SEO, τοπικό SEO και στρατηγικές - για ελληνικές και διεθνείς αγορές.","sitemap.xml","blog",1650,94,2,1352
"https://anotherseoguru.com/el/blog/ai-chatbots-tourismos",200,"https://anotherseoguru.com/el/blog/ai-chatbots-tourismos","index","el",0,"AI Chatbots στον Τουρισμό - 24/7 Κρατήσεις | AnotherSEOGuru","AI Chatbots στον Τουρισμό - 24/7 Κρατήσεις και AEO","Πώς τα έξυπνα AI Chatbots μεταμορφώνουν την εξυπηρέτηση πελατών στον τουρισμό. Αυτοματοποίηση κρατήσεων, απαντήσεις σε FAQ και GEO/AEO ορατότητα.","sitemap.xml","blog",12,95,2,1352
"https://anotherseoguru.com/el/blog/ai-seo-agency-geo-aeo-el",200,"https://anotherseoguru.com/el/blog/ai-seo-agency-geo-aeo-el","index","el",6,"AI SEO Agency - GEO, AEO και Citations | AnotherSEOGuru","AI SEO Agency - GEO, AEO και Citations σε Απαντήσεις AI","Τι κάνει ένα AI SEO agency το 2026. GEO vs SEO, AEO για AI Overviews και πώς τουριστικά brands κερδίζουν citations σε ChatGPT και Perplexity.","sitemap.xml","blog",17,91,2,1456
"https://anotherseoguru.com/el/blog/anasxediasmos-istoselidas",200,"https://anotherseoguru.com/el/blog/anasxediasmos-istoselidas","index","el",6,"Ανασχεδιασμός Ιστοσελίδας Χωρίς να Χάσετε | AnotherSEOGuru","Ανασχεδιασμός Ιστοσελίδας Χωρίς να Χάσετε το SEO σας","Πότε χρειάζεται ανασχεδιασμός ιστοσελίδας, πόσο κοστίζει και πώς γίνεται με ασφαλές SEO migration ώστε να μη χαθούν κατατάξεις και οργανική κίνηση.","sitemap.xml","blog",178,89,2,1369
"https://anotherseoguru.com/el/blog/ergaleia-seo",200,"https://anotherseoguru.com/el/blog/ergaleia-seo","index","el",6,"Εργαλεία SEO 2026 - Δωρεάν Stack + Google | AnotherSEOGuru","Εργαλεία SEO 2026 - Δωρεάν Stack + Google Analytics για SEO","Τα καλύτερα εργαλεία SEO για ελληνικές επιχειρήσεις: Search Console, Analytics (GA4), PageSpeed, και πώς τα χρησιμοποιείτε χωρίς ακριβά suites στην αρχή.","sitemap.xml","blog",10,89,2,1328
"https://anotherseoguru.com/el/blog/geo-aeo-ellada",200,"https://anotherseoguru.com/el/blog/geo-aeo-ellada","index","el",0,"GEO, AEO και SEO στην Ελλάδα - Οδηγός 2026 | AnotherSEOGuru","GEO, AEO και SEO στην Ελλάδα - Οδηγός 2026","Βελτιστοποίηση για Google, ChatGPT, Perplexity και Gemini. Οδηγός SEO, Generative Engine Optimization και Answer Engine Optimization για ελληνικές επιχειρήσεις.","sitemap.xml","blog",1082,96,2,1419
"https://anotherseoguru.com/el/blog/geo-agency-ellada",200,"https://anotherseoguru.com/el/blog/geo-agency-ellada","index","el",0,"GEO Agency Ελλάδα - Ορατότητα σε AI | AnotherSEOGuru","GEO Agency Ελλάδα - Ορατότητα σε AI","GEO agency στην Ελλάδα για ChatGPT, Perplexity και Gemini. Τι να ζητήσετε, κόστος από €599/μήνα και πώς μετράτε AI citations. Δωρεάν έλεγχος ορατότητας.","sitemap.xml","blog",14,92,2,1366
"https://anotherseoguru.com/el/blog/geo-vs-seo-vs-aeo-el",200,"https://anotherseoguru.com/el/blog/geo-vs-seo-vs-aeo-el","index","el",6,"GEO vs SEO vs AEO - Τι Χρειάζεστε το 2026; | AnotherSEOGuru","GEO vs SEO vs AEO - Τι Χρειάζεστε το 2026;","Σύγκριση SEO, GEO (generative engine optimization) και AEO. Πότε επενδύετε σε καθένα και πώς τα συνδυάζουμε για leads.","sitemap.xml","blog",15,87,2,1434
"https://anotherseoguru.com/el/blog/istoselida-enikiasis-autokinitou-seo",200,"https://anotherseoguru.com/el/blog/istoselida-enikiasis-autokinitou-seo","index","el",0,"SEO Ιστοσελίδας Ενοικίασης Αυτοκινήτου | AnotherSEOGuru","SEO Ιστοσελίδας Ενοικίασης Αυτοκινήτου - Οδηγός 2026","Πώς να βελτιστοποιήσετε την ιστοσελίδα ενοικίασης αυτοκινήτου για τη Google. Λέξεις-κλειδιά αεροδρομίων, λιμανιών, τοπικό SEO, πίνακας κόστους και checklist.","sitemap.xml","blog",10,87,2,1345
"https://anotherseoguru.com/el/blog/kataskevi-eshop-odigos",200,"https://anotherseoguru.com/el/blog/kataskevi-eshop-odigos","index","el",6,"Κατασκευή E-shop από €1.799 | AnotherSEOGuru","Κατασκευή E-shop από €1.799","Κατασκευή e-shop WooCommerce στην Ελλάδα από €1.799. Πληρωμές, courier, myDATA και SEO κατηγοριών για να πουλάει από την 1η μέρα. Δείτε τιμές.","sitemap.xml","blog",1689,93,2,1472
"https://anotherseoguru.com/el/blog/kataskevi-istoselidas-xenodoxeia",200,"https://anotherseoguru.com/el/blog/kataskevi-istoselidas-xenodoxeia","index","el",6,"Κατασκευή Ιστοσελίδας Ξενοδοχείου | AnotherSEOGuru","Κατασκευή Ιστοσελίδας Ξενοδοχείου","Κατασκευή ιστοσελίδας για ξενοδοχεία με direct bookings και SEO. Μείωση προμηθειών OTA, Google Maps και κρατήσεις από €1.799. Δείτε τι περιλαμβάνει.","sitemap.xml","blog",328,93,2,1365
"https://anotherseoguru.com/el/blog/lexeis-kleidia-seo",200,"https://anotherseoguru.com/el/blog/lexeis-kleidia-seo","index","el",6,"Λέξεις-Κλειδιά SEO - Πώς να Βρείτε Τι | AnotherSEOGuru","Λέξεις-Κλειδιά SEO - Πώς να Βρείτε Τι Ψάχνει το Κοινό σας","Οδηγός έρευνας λέξεων-κλειδιών SEO στην Ελλάδα. Πρόθεση αναζήτησης, long-tail, εργαλεία και πώς να χαρτογραφήσετε όρους σε σελίδες.","sitemap.xml","blog",11,86,2,1314
"https://anotherseoguru.com/el/blog/poso-kostizei-mia-istoselida",200,"https://anotherseoguru.com/el/blog/poso-kostizei-mia-istoselida","index","el",6,"Πόσο Κοστίζει μια Ιστοσελίδα; | AnotherSEOGuru","Πόσο Κοστίζει μια Ιστοσελίδα;","Πόσο κοστίζει μια ιστοσελίδα στην Ελλάδα το 2026; Από €899 εταιρικό site έως e-shop. Πίνακας τιμών, κρυφά κόστη και διαφανή πακέτα AnotherSEOGuru.","sitemap.xml","blog",1771,92,2,1442
"https://anotherseoguru.com/el/blog/poso-kostizei-to-seo",200,"https://anotherseoguru.com/el/blog/poso-kostizei-to-seo","index","el",6,"Πόσο Κοστίζει το SEO; Τιμές 2026 | AnotherSEOGuru","Πόσο Κοστίζει το SEO; Τιμές 2026","Πόσο κοστίζει το SEO στην Ελλάδα; Πακέτα από €299/μήνα, πίνακας τιμών SEO και τι περιλαμβάνει κάθε πακέτο. Διαφανείς τιμές σε € - χωρίς κρυφές χρεώσεις.","sitemap.xml","blog",2083,93,2,1447
